Sat, Time, Elevation, Distance, SNR
Unknown,2022-06-07 14:32:00,-68.64,12428,-18.75 
Unknown,2022-06-07 12:20:00,-16.48,4973,-21.25 
FossaSat-2E1 ☀️,2022-06-07 10:42:00,33.76,850,-6.5 
FossaSat-2E1 ☀️,2022-06-07 10:41:00,50.58,643,0.5 
FossaSat-2E1 ☀️,2022-06-07 10:39:00,44.37,702,-10.75 
Unknown,2022-06-07 10:06:00,-56.21,11221,-11.75 
Unknown,2022-06-07 10:04:00,-59.87,11630,-12.25 
Unknown,2022-06-07 01:26:00,-68.15,12391,-21 
Unknown,2022-06-07 01:25:00,-67.48,12338,-10.25 
Unknown,2022-06-07 01:25:00,-67.15,12310,-5 
Unknown,2022-06-07 01:22:00,-65.02,12128,-21.25 
FossaSat-2E5 ☀️,2022-06-06 21:44:00,36.80,804,-8.75 
FossaSat-2E5 ☀️,2022-06-06 21:42:00,55.60,609,-2.25 
Unknown,2022-06-06 14:43:00,-70.54,12567,-20.75 
Unknown,2022-06-06 13:12:00,-76.50,12931,-20.75 
FossaSat-2E5 ☀️,2022-06-06 11:04:00,44.81,696,-8.75 
Unknown,2022-06-06 11:03:00,-14.29,4605,-15.75 
Unknown,2022-06-06 10:57:00,4.66,2126,-13 
Unknown,2022-06-06 10:55:00,23.61,1087,-20.75 
Unknown,2022-06-06 10:22:00,-57.71,11393,-2.5 
Unknown,2022-06-06 10:19:00,-62.68,11917,-18.25 
Unknown,2022-06-06 01:40:00,-65.06,12131,-20.75 
Unknown,2022-06-06 01:36:00,-61.09,11751,-10.25 
Unknown,2022-06-06 01:33:00,-57.91,11410,-21 
Unknown,2022-06-05 14:56:00,-69.52,12491,-21.75 
Unknown,2022-06-05 13:21:00,-70.81,12585,-9.5 
FossaSat-2E11 ☀️,2022-06-05 13:20:00,12.21,1634,-12.5 
Unknown,2022-06-05 13:20:00,-68.94,12446,-10 
Unknown,2022-06-05 11:22:00,-20.13,5588,-17.5 
Unknown,2022-06-05 11:13:00,7.48,1893,-16.75 
Unknown,2022-06-05 10:41:00,-51.63,10653,-19.25 
FossaSat-2E4 ☀️,2022-06-05 10:37:00,53.27,620,0 
Unknown,2022-06-05 01:51:00,-57.85,11402,-15.75 
Unknown,2022-06-05 01:50:00,-56.65,11265,-21.25 
Unknown,2022-06-05 01:46:00,-51.26,10599,-21.25 
Unknown,2022-06-05 00:16:00,-65.72,12193,-21.75 
Unknown,2022-06-05 00:15:00,-64.20,12057,-21.75 
Unknown,2022-06-05 00:12:00,-59.22,11557,-22 
Unknown,2022-06-05 00:12:00,-58.73,11503,-21.5 
Unknown,2022-06-05 00:11:00,-57.28,11341,-15.25 
Unknown,2022-06-05 00:10:00,-56.63,11266,-17.5 
Unknown,2022-06-04 15:07:00,-65.45,12157,-21.75 
Unknown,2022-06-04 13:32:00,-62.68,11899,-15.5 
FossaSat-2E12 ☀️,2022-06-04 13:31:00,14.35,1515,-2 
Unknown,2022-06-04 13:30:00,-60.29,11655,-13.75 
Unknown,2022-06-04 11:35:00,-14.96,4715,-21.25 
Unknown,2022-06-04 11:34:00,-11.43,4145,-20.25 
Unknown,2022-06-04 10:55:00,-56.60,11267,-10.5 
Unknown,2022-06-04 02:02:00,-50.50,10497,-20 
Unknown,2022-06-04 00:27:00,-55.76,11163,-20.5 
Unknown,2022-06-04 00:21:00,-46.89,10002,-21.25 
Unknown,2022-06-04 00:20:00,-44.50,9654,-12.5 
Unknown,2022-06-03 15:15:00,-55.94,11171,-20.25 
Unknown,2022-06-03 13:46:00,-59.97,11622,-19 
FossaSat-2E12 ☀️,2022-06-03 13:44:00,39.58,792,-4.5 
FossaSat-2E11 ☀️,2022-06-03 13:43:00,19.84,1266,-3.75 
FossaSat-2E12 ☀️,2022-06-03 13:43:00,18.85,1305,-1.75 
Unknown,2022-06-03 13:42:00,-52.62,10759,-4.5 
Unknown,2022-06-03 11:50:00,-11.70,4188,-21.75 
Unknown,2022-06-03 10:20:00,-19.74,5518,-21.25 
FossaSat-2E5 ☀️,2022-06-03 10:19:00,42.19,724,-12.5 
Unknown,2022-06-03 10:11:00,8.10,1844,-17 
Unknown,2022-06-03 00:38:00,-46.16,9896,-21.25 
FossaSat-2E11 🌜,2022-06-03 00:36:00,34.61,883,-10.25 
Unknown,2022-06-03 00:35:00,-42.08,9290,-10.25 
Unknown,2022-06-03 00:32:00,-35.94,8313,-21.75 
Unknown,2022-06-02 15:26:00,-48.98,10280,-21.5 
Unknown,2022-06-02 13:56:00,-49.70,10375,-21.25 
FossaSat-2E12 ☀️,2022-06-02 13:56:00,54.45,641,-10.75 
Unknown,2022-06-02 13:55:00,-48.39,10194,-21 
Unknown,2022-06-02 13:54:00,-46.50,9927,-9 
FossaSat-2E12 ☀️,2022-06-02 13:53:00,11.57,1678,-7.75 
Unknown,2022-06-02 10:36:00,-20.18,5593,-21.5 
Unknown,2022-06-02 10:35:00,-16.42,4954,-17.75 
Unknown,2022-06-02 10:29:00,-0.37,2629,-21 
FossaSat-2E1 ☀️,2022-06-02 10:28:00,47.61,667,0 
Unknown,2022-06-02 09:54:00,-53.54,10900,-21.75 
FossaSat-2E11 🌜,2022-06-02 00:48:00,55.81,642,-8 
Unknown,2022-06-02 00:45:00,-30.59,7417,-10 
