Sat, Time, Elevation, Distance, SNR
Norby ☀️,2022-06-07 14:05:00,4.76,2264,-10.75 
Norby ☀️,2022-06-07 14:04:00,7.91,1998,-11.5 
Norby ☀️,2022-06-07 14:03:00,10.68,1798,-15 
Norby ☀️,2022-06-07 14:02:00,12.36,1688,-13.75 
Unknown,2022-06-07 14:01:00,12.31,1687,-13.5 
Unknown,2022-06-07 12:30:00,7.53,2036,-19.25 
Unknown,2022-06-07 12:28:00,23.12,1207,-19 
Unknown,2022-06-07 12:27:00,38.88,845,-18.75 
Unknown,2022-06-07 12:26:00,69.09,596,-18.5 
Norby ☀️,2022-06-07 12:25:00,60.98,631,-6 
Unknown,2022-06-07 12:22:00,11.74,1711,-11.5 
Norby ☀️,2022-06-07 12:21:00,5.87,2135,-11.75 
Unknown,2022-06-07 04:44:00,1.05,2649,-17 
Norby ☀️,2022-06-07 03:12:00,11.29,1778,-3.5 
Norby ☀️,2022-06-07 03:11:00,15.28,1549,-5.5 
Norby ☀️,2022-06-07 03:10:00,17.85,1427,-9.25 
Norby ☀️,2022-06-07 03:09:00,17.58,1440,-12 
Unknown,2022-06-07 03:08:00,14.67,1584,-18.5 
Norby ☀️,2022-06-07 03:06:00,6.44,2139,-11.75 
Norby 🌜,2022-06-07 01:41:00,2.64,2467,-8.5 
Norby 🌜,2022-06-07 01:40:00,7.42,2046,-5.5 
Norby ☀️,2022-06-07 01:39:00,13.63,1631,-3.75 
Norby ☀️,2022-06-07 01:38:00,22.58,1235,-4.25 
Norby ☀️,2022-06-07 01:37:00,37.05,885,-7 
Norby ☀️,2022-06-07 01:36:00,58.09,661,-3 
Norby ☀️,2022-06-07 01:35:00,53.04,699,-5.25 
Norby ☀️,2022-06-07 01:34:00,32.79,967,-10.25 
Norby ☀️,2022-06-07 01:33:00,20.27,1327,-14.75 
Unknown,2022-06-07 01:32:00,12.16,1728,-16 
Unknown,2022-06-06 12:30:00,54.55,674,-19 
Norby ☀️,2022-06-06 12:27:00,25.68,1113,-8.75 
Norby ☀️,2022-06-06 12:25:00,8.37,1936,-11 
Norby ☀️,2022-06-06 03:17:00,8.10,2000,-6.75 
Norby ☀️,2022-06-06 03:16:00,12.07,1729,-4.5 
Norby ☀️,2022-06-06 03:15:00,15.44,1541,-12.25
Norby ☀️,2022-06-06 03:14:00,16.92,1469,-8.75 
Norby ☀️,2022-06-06 03:13:00,15.72,1529,-8 
Norby ☀️,2022-06-06 03:12:00,12.50,1707,-7 
Norby ☀️,2022-06-06 03:09:00,1.06,2647,-14.25 
Unknown,2022-06-06 01:44:00,4.57,2286,-18.25 
Norby 🌜,2022-06-06 01:43:00,9.89,1864,-4.75 
Norby ☀️,2022-06-06 01:42:00,17.14,1453,-4.75 
Norby ☀️,2022-06-06 01:41:00,28.05,1072,-5.25 
Unknown,2022-06-06 01:40:00,47.20,751,-17.25 
Norby ☀️,2022-06-06 01:39:00,67.65,613,-5.75 
Norby ☀️,2022-06-06 01:38:00,46.10,764,-4.25 
Norby ☀️,2022-06-06 01:37:00,27.51,1091,-11.75 
Norby ☀️,2022-06-06 01:36:00,16.73,1479,-16 
Unknown,2022-06-06 01:35:00,9.66,1891,-18.5 
Norby ☀️,2022-06-05 14:13:00,2.72,2456,-12.5 
Unknown,2022-06-05 14:12:00,5.59,2186,-19 
Norby ☀️,2022-06-05 14:11:00,8.16,1974,-9.5 
Norby ☀️,2022-06-05 14:10:00,9.97,1840,-9.25 
Norby ☀️,2022-06-05 14:09:00,10.45,1803,-8 
Norby ☀️,2022-06-05 14:08:00,9.42,1870,-1.5 
Norby ☀️,2022-06-05 14:07:00,7.23,2029,-11.25 
Unknown,2022-06-05 12:37:00,10.79,1796,-15.25 
Norby ☀️,2022-06-05 12:35:00,30.98,989,-9 
Unknown,2022-06-05 12:33:00,80.86,564,-13.5 
Norby ☀️,2022-06-05 12:32:00,44.03,768,-7.5 
Norby ☀️,2022-06-05 12:31:00,25.26,1124,-5.5 
Norby ☀️,2022-06-05 12:30:00,15.07,1521,-6.25 
Norby ☀️,2022-06-05 12:29:00,8.28,1941,-9.5 
Norby ☀️,2022-06-05 12:28:00,3.22,2369,-12 
Unknown,2022-06-05 11:02:00,7.96,1998,-16 
Norby ☀️,2022-06-05 11:01:00,11.09,1774,-9.5 
Unknown,2022-06-05 11:00:00,13.16,1644,-17.25 
Norby ☀️,2022-06-05 03:22:00,1.56,2585,-14.75 
Unknown,2022-06-05 03:21:00,5.13,2243,-18.75 
Norby ☀️,2022-06-05 03:20:00,8.91,1940,-8.25 
Norby ☀️,2022-06-05 03:19:00,12.54,1701,-6.5 
Unknown,2022-06-05 03:18:00,15.19,1554,-18.5 
Norby ☀️,2022-06-05 03:17:00,15.71,1528,-5.5 
Unknown,2022-06-05 03:16:00,13.84,1628,-15.75 
Norby ☀️,2022-06-05 03:15:00,10.48,1834,-10 
Norby ☀️,2022-06-05 03:14:00,6.70,2115,-14.5 
Norby 🌜,2022-06-05 01:48:00,6.56,2115,-3.75 
Unknown,2022-06-05 01:47:00,12.54,1695,-17.75 
Norby ☀️,2022-06-05 01:46:00,21.12,1288,-4.75 
