cnt,id,gs_time,fossaIdx,rssi,packet_snr
311,8696,1675004133857.00,FO012,-89,-15
312,8697,1675004133857.00,FO012,-86,-17
313,8698,1675004175292.00,FO008,-89,-13.5
314,8699,1675004175292.00,FO008,-86,-15.5
315,8700,1675004283182.00,FO008,-88,-12.5
316,8701,1675004283182.00,FO008,-85,-14.5
317,8702,1675004333392.00,FO008,-85,-14.5
318,8703,1675004333392.00,FO008,-89,-12.5
319,8704,1675036298675.00,FO012,-90,-14
320,8705,1675036298675.00,FO012,-87,-16
321,8706,1675036313848.00,FO012,-87,-17
322,8707,1675036313849.00,FO012,-90,-15
323,8708,1675036341502.00,FO012,-90,-15.5
324,8709,1675036341501.00,FO012,-87,-17
325,8710,1675036524905.00,FO012,-87,-19
326,8711,1675036524906.00,FO012,-90,-17.5
327,8712,1675036675655.00,FO012,-86,-16.5
328,8713,1675036675655.00,FO012,-90,-14.5
329,8714,1675036796263.00,FO012,-89,-14.5
330,8715,1675036796263.00,FO012,-87,-16
331,8716,1675037652889.00,FO011,-89,-12
332,8717,1675037652889.00,FO011,-86,-13.5
333,8718,1675041829300.00,FO012,-90,-11
334,8719,1675041829300.00,FO012,-86,-13
335,8720,1675041841986.00,FO012,-90,-15.5
336,8721,1675041841986.00,FO012,-88,-17
337,8722,1675042022914.00,FO012,-90,-16.5
338,8723,1675042022914.00,FO012,-87,-18
339,8724,1675042093457.00,FO012,-89,-19.5
340,8725,1675042093457.00,FO012,-85,-21
341,8726,1675042284406.00,FO012,-90,-18.5
342,8727,1675042284406.00,FO012,-87,-20
343,8728,1675042332124.00,FO012,-86,-19.5
344,8729,1675042332124.00,FO012,-89,-18
345,8730,1675042352234.00,FO012,-85,-21
346,8731,1675042352234.00,FO012,-89,-19
347,8732,1675260451522.00,FO011,-85,-14.5
348,8733,1675260541968.00,FO011,-86,-13
349,8734,1675265252182.00,FO012,-86,-16.5
350,8735,1675297458772.00,FO012,-86,-16
351,8736,1675297547430.00,FO012,-76,-15
352,8737,1675297565251.00,FO012,-75,-17
353,8738,1675297599036.00,FO012,-76,-17
354,8739,1675297633869.00,FO012,-76,-17.5
355,8740,1675297684602.00,FO012,-76,-18
356,8741,1675297762967.00,FO012,-76,-17
357,8742,1675297780910.00,FO012,-76,-18
358,8743,1675297797807.00,FO012,-76,-17.5
359,8744,1675297806256.00,FO012,-76,-15.5
360,8745,1675297831640.00,FO012,-76,-18
361,8746,1675297840120.00,FO012,-76,-15
362,8747,1675297900230.00,FO012,-76,-16.5
363,8748,1675297908691.00,FO012,-76,-15.5
364,8749,1675298164484.00,FO008,-87,-15.5
365,8750,1675298164484.00,FO008,-76,-15
366,8751,1675298180297.00,FO008,-85,-21.5
367,8752,1675298221136.00,FO008,-87,-15.5
368,8753,1675298221136.00,FO008,-76,-15
369,8754,1675298285495.00,FO008,-76,-15
370,8755,1675298285495.00,FO008,-86,-18
371,8756,1675298382231.00,FO008,-87,-19.5
372,8757,1675298421828.00,FO008,-86,-19
373,8758,1675298429865.00,FO008,-86,-20.5
374,8759,1675298755880.00,FO011,-86,-15.5
375,8760,1675303178275.00,FO012,-76,-17
376,8761,1675303186714.00,FO012,-76,-16.5
377,8762,1675303195163.00,FO012,-76,-16.5
378,8763,1675303203613.00,FO012,-76,-17
379,8764,1675303211992.00,FO012,-76,-16.5
380,8765,1675303245683.00,FO012,-76,-16.5
381,8766,1675303280465.00,FO012,-75,-16.5
382,8767,1675303288895.00,FO012,-76,-16
383,8768,1675303314140.00,FO012,-76,-16
384,8769,1675303331028.00,FO012,-76,-17
385,8770,1675303341585.00,FO012,-75,-16
386,8771,1675303350024.00,FO012,-76,-16
387,8772,1675303468998.00,FO012,-76,-15
388,8773,1675303748413.00,FO008,-83,-14.5
389,8774,1675303780014.00,FO008,-86,-19.5
390,8775,1675303787892.00,FO008,-87,-19.5
391,8776,1675303820536.00,FO008,-86,-16
392,8777,1675303844356.00,FO008,-85,-20.5
393,8778,1675303901086.00,FO008,-84,-19
394,8779,1675303908953.00,FO008,-84,-19.5
395,8780,1675303932593.00,FO008,-75,-17.5
396,8781,1675303932593.00,FO008,-85,-20.5
397,8782,1675303940549.00,FO008,-86,-18.5
398,8783,1675303940549.00,FO008,-76,-15.5
399,8784,1675303948416.00,FO008,-76,-16.5
400,8785,1675303948416.00,FO008,-86,-19.5
401,8786,1675303956362.00,FO008,-86,-19.5
402,8787,1675303964319.00,FO008,-76,-17
403,8788,1675303964319.00,FO008,-85,-19.5
404,8789,1675303972216.00,FO008,-85,-19
405,8790,1675303972216.00,FO008,-75,-16
406,8791,1675303981145.00,FO008,-87,-18
407,8792,1675303989042.00,FO008,-81,-18.5
408,8793,1675303997148.00,FO008,-75,-16
409,8794,1675303997148.00,FO008,-81,-19
410,8795,1675304012911.00,FO008,-82,-19
411,8796,1675304020818.00,FO008,-83,-19.5
412,8797,1675304036697.00,FO008,-83,-20
413,8798,1675304036697.00,FO008,-76,-16.5
414,8799,1675304052499.00,FO008,-83,-17
415,8800,1675304052500.00,FO008,-76,-15
416,8801,1675304061400.00,FO008,-84,-20
417,8802,1675304069225.00,FO008,-76,-17
418,8803,1675304069226.00,FO008,-86,-20
419,8804,1675304077152.00,FO008,-82,-20
420,8805,1675304077152.00,FO008,-75,-17
421,8806,1675304100892.00,FO008,-79,-19.5
422,8807,1675304100892.00,FO008,-76,-16.5
423,8808,1675304108799.00,FO008,-75,-17.5
424,8809,1675304108799.00,FO008,-79,-20.5
425,8810,1675304116736.00,FO008,-75,-16
426,8811,1675304116735.00,FO008,-78,-18.5
427,8812,1675304228255.00,FO011,-85,-20.5
428,8813,1675344526009.00,FO012,-86,-19.5
429,8814,1675344576254.00,FO012,-86,-17
430,8815,1675344731859.00,FO012,-86,-18
431,8816,1675344779556.00,FO012,-85,-21
432,8817,1675344935320.00,FO012,-86,-20
433,8818,1675345131434.00,FO008,-86,-19
434,8819,1675345189175.00,FO008,-87,-20
435,8820,1675345319630.00,FO008,-87,-13
436,8821,1675345349812.00,FO011,-87,-10.5
437,8822,1675345420002.00,FO008,-84,-22
438,8823,1675345467818.00,FO011,-86,-15
439,8824,1675345613257.00,FO011,-86,-15.5
440,8825,1675350137600.00,FO012,-85,-12.5
441,8826,1675350363786.00,FO012,-86,-18.5
442,8827,1675350419160.00,FO012,-84,-17
443,8828,1675350916389.00,FO011,-86,-14
444,8829,1675351127229.00,FO011,-85,-17
445,8830,1675382663858.00,FO012,-86,-16.5
446,8831,1675382719217.00,FO012,-86,-17.5
447,8832,1675383186608.00,FO012,-86,-18.5
448,8833,1675383299124.00,FO011,-86,-15
449,8834,1675383404521.00,FO011,-87,-19
450,8835,1675383550053.00,FO011,-87,-17
451,8836,1675383659505.00,FO008,-86,-20.5
452,8837,1675383679622.00,FO008,-87,-19.5
453,8838,1675383838690.00,FO011,-86,-18
454,8839,1675388308385.00,FO012,-87,-17
455,8840,1675388494323.00,FO012,-86,-18
456,8841,1675389007365.00,FO008,-76,-17
457,8842,1675389120290.00,FO008,-87,-15
458,8843,1675389221323.00,FO011,-75,-17.5
459,8844,1675429912503.00,FO012,-87,-20
460,8845,1675430116346.00,FO012,-87,-16.5
461,8846,1675430339565.00,FO011,-87,-14.5
462,8847,1675435421513.00,FO012,-87,-16
463,8848,1675435454354.00,FO012,-86,-19
464,8849,1675435474564.00,FO012,-86,-18
465,8850,1675435549894.00,FO012,-86,-17.5
466,8851,1675435560062.00,FO012,-84,-21.5
467,8852,1675435730898.00,FO012,-87,-16
468,8853,1675435888102.00,FO011,-86,-15
469,8854,1675436467349.00,FO008,-86,-14.5
470,8855,1675467892655.00,FO012,-87,-13.5
471,8856,1675467930347.00,FO012,-87,-16.5
472,8857,1675468028425.00,FO012,-87,-16.5
473,8858,1675468211852.00,FO012,-86,-18.5
474,8859,1675473411559.00,FO012,-87,-10
475,8860,1675473421637.00,FO012,-87,-18
476,8861,1675473434222.00,FO012,-86,-17
477,8862,1675473474472.00,FO012,-87,-19
478,8863,1675473522316.00,FO012,-87,-19
479,8864,1675473545025.00,FO012,-86,-19.5
480,8865,1675473622912.00,FO012,-85,-21.5
481,8866,1675473650596.00,FO012,-87,-19
482,8867,1675473874233.00,FO012,-87,-16
483,8868,1675473929507.00,FO012,-87,-18.5
484,8869,1675473979844.00,FO012,-86,-17.5
485,8870,1675474382898.00,FO008,-85,-21.5
486,8871,1675474384926.00,FO008,-87,-19
487,8872,1675474386735.00,FO008,-94,-8.5
488,8873,1675474388992.00,FO008,-86,-17.5
489,8874,1675474391019.00,FO008,-86,-20
490,8875,1675474392818.00,FO008,-86,-17.5
491,8876,1675474398911.00,FO008,-86,-17.5
492,8877,1675474401179.00,FO008,-86,-17.5
493,8878,1675474407262.00,FO008,-86,-19.5
494,8879,1675474411096.00,FO008,-85,-20.5
495,8880,1675474417372.00,FO008,-84,-22
496,8881,1675474419400.00,FO008,-84,-21
497,8882,1675474423465.00,FO008,-86,-17.5
498,8883,1675474425493.00,FO008,-85,-21.5
499,8884,1675474427291.00,FO008,-85,-18.5
500,8885,1675474429549.00,FO008,-85,-21
501,8886,1675474433386.00,FO008,-86,-20.5
502,8887,1675474435643.00,FO008,-86,-19
503,8888,1675474437681.00,FO008,-86,-20
504,8889,1675474441736.00,FO008,-85,-21
505,8890,1675474443764.00,FO008,-84,-21
506,8891,1675474445573.00,FO008,-84,-21
507,8892,1675474451656.00,FO008,-84,-22
508,8893,1675474453923.00,FO008,-85,-20
509,8894,1675474460017.00,FO008,-83,-22.5
510,8895,1675474462045.00,FO008,-85,-17
511,8896,1675474463843.00,FO008,-83,-22.5
512,8897,1675474468138.00,FO008,-85,-21
513,8898,1675474469937.00,FO008,-86,-19
514,8899,1675474472193.00,FO008,-84,-22
515,8900,1675474476030.00,FO008,-84,-22
516,8901,1675474478287.00,FO008,-84,-22
517,8902,1675474480315.00,FO008,-84,-22
518,8903,1675474484380.00,FO008,-84,-21.5
519,8904,1675474486409.00,FO008,-83,-22.5
520,8905,1675474488207.00,FO008,-85,-21.5
521,8906,1675474494300.00,FO008,-83,-22.5
522,8907,1675474496568.00,FO008,-84,-20
523,8908,1675474502661.00,FO008,-83,-22.5
524,8909,1675474504690.00,FO008,-84,-21.5
525,8910,1675474506498.00,FO008,-83,-22.5
526,8911,1675474510050.00,FO008,-76,-19.5
527,8912,1675474512769.00,FO008,-84,-22
528,8913,1675474514952.00,FO008,-85,-21.5
529,8914,1675474519066.00,FO008,-84,-20.5
530,8915,1675474521098.00,FO008,-83,-22.5
531,8916,1675474522900.00,FO008,-84,-21
532,8917,1675474527194.00,FO008,-86,-20.5
533,8918,1675474528986.00,FO008,-82,-23
534,8919,1675474531247.00,FO008,-84,-21.5
535,8920,1675474537343.00,FO008,-82,-23
536,8921,1675474539375.00,FO008,-83,-22.5
537,8922,1675474545460.00,FO008,-84,-22
538,8923,1675474547263.00,FO008,-82,-23
539,8924,1675474553358.00,FO008,-84,-21.5
540,8925,1675474555620.00,FO008,-84,-22
541,8926,1675474557652.00,FO008,-84,-21
542,8927,1675474561705.00,FO008,-84,-21.5
543,8928,1675474563737.00,FO008,-83,-22
544,8929,1675474569554.00,FO008,-83,-22
545,8930,1675474571811.00,FO008,-83,-22.5
546,8931,1675474573849.00,FO008,-83,-22.5
547,8932,1675474577907.00,FO008,-83,-22.5
548,8933,1675474579938.00,FO008,-85,-21.5
549,8934,1675474581741.00,FO008,-83,-22.5
550,8935,1675474588007.00,FO008,-83,-21
551,8936,1675474590045.00,FO008,-85,-21
552,8937,1675474596133.00,FO008,-85,-21
553,8938,1675474597936.00,FO008,-85,-21
554,8939,1675474604022.00,FO008,-85,-21.5
555,8940,1675474606283.00,FO008,-84,-21
556,8941,1675474608315.00,FO008,-84,-22
557,8942,1675474612379.00,FO008,-85,-21.5
558,8943,1675474614411.00,FO008,-85,-20.5
559,8944,1675474616213.00,FO008,-84,-22
560,8945,1675474620496.00,FO008,-84,-21
561,8946,1675474622299.00,FO008,-85,-20.5
562,8947,1675474624561.00,FO008,-84,-21
563,8948,1675514807094.00,FO012,-86,-15
564,8949,1675514872441.00,FO012,-86,-16
565,8950,1675515028145.00,FO012,-87,-19
566,8951,1675515146195.00,FO012,-88,-18
567,8952,1675515269409.00,FO012,-86,-18
568,8953,1675515905369.00,FO008,-86,-10
569,8954,1675520431062.00,FO012,-86,-17.5
570,8955,1675520473788.00,FO012,-87,-18
571,8956,1675520621919.00,FO012,-87,-18.5
572,8957,1675520870663.00,FO012,-86,-20
573,8958,1675639059360.00,FO011,-86,-10
574,8959,1675639328938.00,FO008,-86,-14.5
