Time,VCC1_VOLTAGE,CONTROLLER_TEMPERATURE,VCC2_CURRENT,VCC1_CURRENT,VCC2_VOLTAGE,VCC3_CURRENT,VCC3_VOLTAGE,BATTERY2_VOLTAGE,SUN_X,SUN_Z,BATTERY2_CURRENT,BATTERY1_CURRENT,BATTERY_TEMPERATURE,BATTERY1_VOLTAGE
01/13/22 02:16:29PM,2.436,1,177,273,2.364,0,2.052,4.158,0,0,0,196,-4.43,0.126
01/13/22 06:07:20PM,0.012,7.62,0,0,0.012,0,0.012,4.068,0,0,0,-223,-2.62,4.176
01/13/22 06:17:20PM,0,2.75,0,0,0,0,0,4.068,0,0,0,-220,-9.5,4.086
01/13/22 06:18:20PM,0,2,0,0,0,0,0,4.068,0,0,0,-218,-10.25,4.068
01/13/22 06:45:00PM,0.012,4.5,0,0,0.012,0,0.012,4.068,0,0,0,-223,-6.62,4.176
01/13/22 06:46:01PM,0.012,3.75,0,0,0.012,0,0.012,4.068,0,0,0,-223,-7.5,4.176
01/13/22 06:48:01PM,0,2.68,0,0,0,0,0.012,4.068,0,0,0,-222,-8.75,4.158
01/13/22 06:51:01PM,0,1.37,0,0,0.012,0,0.012,4.068,0,0,0,-221,-10.37,4.122
01/13/22 08:17:00PM,0.012,5.87,0,0,0.024,0,0.012,4.068,0,0,0,-226,-4.81,4.23
01/13/22 08:20:00PM,0,4.25,0,0,0,0,0,4.068,0,0,0,-225,-7,4.212
01/13/22 08:23:00PM,0.012,2.5,0,0,0.012,0,0.012,4.068,0,0,0,-223,-9,4.194
01/13/22 08:25:00PM,0,2,0,0,0,0,0,4.068,0,0,0,-223,-9.56,4.176
01/13/22 08:30:00PM,0.012,-0.75,0,0,0.036,0,0.012,4.068,0,0,0,-221,-12.62,4.14
01/13/22 09:05:00PM,1.98,8.31,165,67,2.052,0,1.74,4.104,0,0,0,-30,6,4.464
01/13/22 09:08:00PM,1.884,9.5,117,18,1.944,0,1.728,4.104,0,0,0,-102,7.25,4.428
01/14/22 12:33:17AM,0.012,4.25,0,0,0.012,0,0.012,4.068,0,0,0,-226,-6.87,4.23
01/14/22 01:08:17AM,2.232,5.87,163,187,2.208,0,1.944,4.122,0,0,0,83,3.5,4.59
01/14/22 01:15:02AM,1.884,9,136,7,2.016,0,1.764,4.086,0,0,0,-88,6.87,4.5
01/14/22 01:18:17AM,1.8,10.37,22,16,1.824,0,1.668,4.086,0,0,0,-211,8.37,4.428
01/14/22 01:48:02AM,0.012,5.68,0,0,0.024,0,0.012,4.068,0,0,0,-230,-5.25,4.302
01/14/22 01:48:17AM,0.012,11.56,0,0,0,0,0,4.104,0,0,0,-53,9.56,4.536
