gs_name,distance_km,elevation,time,rssi,snr,crc
WA4EFH,1481,13.54,01:15:45.460,-135.5,-16.5,1
KD5WEK,662,47.03,01:15:45.437,-130.5,-10.5,0
ArgusNavis,1522,12.78,01:15:45.445,-121.5,-15.5,0
Spork433,687,44.54,01:15:45.442,-105,-18,0
W5AUG_GS433,651,48.18,01:15:45.408,-134.75,-13.75,0
W0CHL,681,45.09,01:15:45.438,-137,-16,0
KB4YTM,863,32.21,01:15:45.468,-137.25,-18.25,1
k5qxj_1,885,31.09,01:15:45.439,-135.75,-17.75,0
WJ8P_GP,1172,20.52,01:15:45.446,-140.25,-19.25,0
W3JCE_433,1196,19.86,01:15:45.394,-143,-20,0
WJ8P_PL,1172,20.52,01:15:45.445,-141.75,-19.75,0
KB5ZUR,589,56.58,01:15:45.440,-141,-19,0
NHQ_SAT,1203,20.40,00:22:42.180,-138.25,-16.25,1
YC1SCC,1078,24.17,00:22:42.158,-142.25,-21.25,0
RMPMLG,1108,23.18,00:22:42.170,-140.75,-20.75,0
YB2SAT,1090,23.76,00:22:42.157,-132.25,-21.25,0
W4WAX,993,26.45,23:42:30.839,-104.5,-1.5,1
KD2AFV,544,65.71,23:42:30.819,-133,-11,0
w2grk,532,69.33,23:42:30.824,-110.5,-11.5,0
KB1PVH,611,53.30,23:42:30.817,-141.25,-20.25,0
N1IHL,632,50.53,23:42:30.815,-112,-21,0
VE3TTU_4,956,27.92,23:42:30.680,-134,-18,0
N1ZKO_433,658,47.53,23:42:29.186,-141.25,-20.25,0
WB2CBA1,530,69.82,23:42:30.819,-138,-21,0
Hopkinton_GS,685,44.84,23:42:30.817,-131.75,-11.75,0
N1GMJ,612,53.15,23:42:30.691,-121.25,-14.25,0
KA8YES,828,34.26,23:42:30.815,-140.75,-18.75,0
ve3gtc_TinyGS,870,31.95,23:42:30.817,-132.75,-21.75,0
VA2ZAC,858,32.54,23:42:30.819,-136.75,-16.75,0
Daedalus9,603,54.48,23:42:30.824,-101.75,-21.75,0
KI2D,582,57.86,23:42:30.818,-139.5,-21.5,0
WesternLoudounGS,640,49.56,23:42:30.828,-127.75,-6.75,0
greentn,748,39.48,23:42:30.813,-144.25,-21.25,0
N3CX_TinyGS,640,49.63,23:42:30.822,-134.75,-13.75,0
VE3WNP,919,29.56,23:42:30.817,-141.25,-19.25,0
KF1D_433_1,608,53.74,23:42:30.820,-137.75,-14.75,0
KG4EUF_433_T_1,634,50.30,23:42:30.834,-115.75,-14.75,0
NWO_GS1,1073,23.57,23:42:30.842,-129.75,-10.75,1
NU3E_433_2,526,71.31,23:42:30.852,-86.5,-1.5,1
LVS_433,708,44.11,23:24:02.446,-124,-6,1
PU3XGS,869,32.99,15:56:27.448,-136.25,-19.25,0
Fabinho_Tiny_GS,1519,13.38,18:05:30.185,-141.5,-20.5,0
LW2DTZ,691,45.72,23:24:02.454,-129.5,-9.5,1
LU3GHF_436,636,51.93,23:24:02.430,-122.5,-17.5,0
Morteritos_430,812,36.33,23:24:02.437,-123.25,-3.25,1
LW2DTZ,783,38.68,23:21:44.229,-139,-18,1
LU9EHU_GS,785,38.55,23:21:44.207,-137,-17,0
IDI_CONAE,1319,17.70,23:21:44.210,-102.25,-17.25,0
Morteritos_430,1364,16.68,23:21:44.231,-133.25,-11.25,0
ZathTGS,1892,7.69,22:49:22.048,-131,-18,1
VK8MT_TinyGS,1133,22.53,22:49:22.024,-129.5,-12.5,0
JA5jkd,534,70.63,22:36:00.420,-139.25,-17.25,1
ParadiseGS1,554,65.07,22:36:00.389,-142,-21,0
JG2RZF,783,37.61,22:36:00.398,-141.75,-19.75,0
7J1AJH,726,41.87,22:36:00.388,-132.75,-11.75,0
ParadiseGS2,554,65.07,19:03:45.943,-131.75,-20.75,0
JH1HNB2,733,41.30,22:36:00.397,-136.5,-14.5,0
